OG,FG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod,PrimaryTemp,IsPils,SizeRatio
1.047,1.011,4.8,36.07,3.32,90,1.041,78.0,Specific Gravity,All Grain,10.0,True,1.16
1.048,1.009,5.15,30.39,4.11,90,1.038,80.0,Specific Gravity,All Grain,10.0,True,1.28
1.05,1.013,4.93,40.3,3.68,90,1.042,72.0,Specific Gravity,All Grain,10.0,True,1.2
1.047,1.008,5.15,22.47,4.03,80,1.044,80.0,Specific Gravity,All Grain,11.0,True,1.0714285714285714
1.057,1.014,5.63,40.55,3.15,90,1.042,76.0,Specific Gravity,BIAB,10.0,True,1.3554987212276215
1.048,1.011,4.86,25.39,3.96,90,1.026,70.0,Specific Gravity,Partial Mash,10.0,True,0.6999471737982039
1.05,1.01,5.2,44.9,3.6,90,1.039,75.0,Specific Gravity,BIAB,20.0,True,1.28
1.0659999999999998,1.018,6.21,13.34,5.13,60,1.131,92.0,Specific Gravity,BIAB,25.0,True,0.5
1.056,1.016,5.25,32.22,3.51,90,1.043,70.0,Specific Gravity,All Grain,10.0,True,1.2962818003913894
1.051,1.012,5.11,33.28,3.01,90,1.042,77.5,Specific Gravity,All Grain,9.0,True,1.2244897959183674
1.0490000000000002,1.007,5.53,36.35,3.06,100,1.042,88.0,Specific Gravity,All Grain,10.0,True,1.1739030553641168
1.05,1.012,4.9,23.89,3.95,75,1.04,79.0,Specific Gravity,BIAB,18.33,True,1.2501100836635843
1.052,1.015,4.96,47.93,3.26,60,1.031,70.0,Specific Gravity,BIAB,13.89,True,1.6663732394366197
1.13,1.039,12.02,44.99,40.0,60,1.093,75.0,Specific Gravity,All Grain,21.11,True,1.3998943475964079
1.078,1.015,8.25,39.28,3.9,90,1.0759999999999998,80.0,Specific Gravity,All Grain,13.33,True,1.021161802527116
14.5798,3.78265,5.84,41.39,4.04,60,13.2,82.0,Plato,All Grain,24.0,True,1.1111111111111112
1.054,1.015,5.19,45.62,3.47,60,1.04,68.0,Specific Gravity,BIAB,12.78,True,1.3635926993275695
1.054,1.015,5.11,42.38,3.62,90,1.04,75.0,Specific Gravity,All Grain,12.0,True,1.3409090909090908
1.079,1.019,7.94,94.64,14.17,90,,72.0,Specific Gravity,All Grain,20.0,True,1.3635926993275695
1.05,1.013,4.84,38.73,3.45,90,1.041,73.0,Specific Gravity,All Grain,10.0,True,1.2
1.058,1.016,5.51,37.08,3.92,60,1.047,82.0,Specific Gravity,All Grain,14.44,True,1.2385505787619526
1.0490000000000002,1.012,4.81,42.5,5.22,60,1.041,71.0,Specific Gravity,All Grain,12.0,True,1.1875
1.052,1.008,5.72,60.24,3.93,60,1.035,70.0,Specific Gravity,All Grain,10.0,True,1.4997358689910196
1.0590000000000002,1.009,6.45,16.38,5.28,90,1.051,75.0,Specific Gravity,All Grain,12.0,True,1.1428571428571428
1.06,1.017,5.59,35.6,4.25,75,1.044,70.0,Specific Gravity,All Grain,12.78,True,1.3635926993275695
1.048,1.01,4.97,26.85,2.93,90,1.041,75.0,Specific Gravity,All Grain,9.0,True,1.1666666666666667
1.047,1.008,5.01,12.68,3.45,30,1.077,35.0,Specific Gravity,extract,11.0,True,0.6086956521739131
1.044,1.012,4.12,30.39,2.76,60,1.052,75.0,Specific Gravity,All Grain,10.0,True,0.8333333333333334
1.048,1.009,5.05,21.75,6.25,60,1.042,68.0,Specific Gravity,All Grain,20.0,True,1.1320754716981132
1.055,1.012,5.64,32.69,4.65,60,1.046,75.0,Specific Gravity,All Grain,10.0,True,1.2
1.064,1.014,6.46,32.94,10.79,60,1.047,65.0,Specific Gravity,BIAB,10.0,True,1.3571428571428572
1.048,1.008,5.21,44.96,3.56,60,1.033,80.0,Specific Gravity,All Grain,11.67,True,1.4543707973102786
1.058,1.014,5.87,62.55,17.23,90,1.05,75.0,Specific Gravity,All Grain,20.0,True,1.16
1.064,1.014,6.62,35.51,15.9,90,1.052,75.0,Specific Gravity,All Grain,20.0,True,1.24
